--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 29|Nidoran♀  |POISON           |  69|  54|  49|  23|  65|  15|STURDY      |SHELL ARMOR |DIVE BALL (rare)
 30|Nidorina  |POISON           |  92|  34|  36|  73|  67|  64|DROUGHT     |SPEED BOOST |
 31|Nidoqueen |POISON/GROUND    | 138|  64|  36| 105|  64|  88|GUTS        |SHED SKIN   |
 32|Nidoran♂  |POISON           |  97|  18|  37|  26|  71|  24|LIQUID OOZE |MARVEL SCALE|SUN STONE (common), DEEPSEATOOTH (rare)
 33|Nidorino  |POISON           |  78|  52|  86|  72|  30|  46|THICK FAT   |-------     |ELIXIR (rare)
 34|Nidoking  |POISON/GROUND    |  59| 128|  99|  62| 109|  38|MINUS       |-------     |
 35|Clefairy  |NORMAL           |  45|  62|  85|  52|  20|  59|ROUGH SKIN  |-------     |X ACCURACY (common), SHOAL SALT (rare)
 36|Clefable  |NORMAL           |  71|  43| 110| 102|  37| 109|ROUGH SKIN  |-------     |
 37|Vulpix    |FIRE             |  21|  47|  55|  40|  69|  66|TORRENT     |COLOR CHANGE|SPELL TAG (100%)
 38|Ninetales |FIRE             |  31| 150|  73|  80|  67| 104|STATIC      |-------     |TM12 (100%)
 39|Jigglypuff|NORMAL           |  61|  12|  66|  61|  47|  23|STENCH      |-------     |BLUE FLUTE (100%)
 40|Wigglytuff|NORMAL           | 101|  90|  84|  43|  11|  95|PLUS        |STURDY      |IRON (common), TM27 (rare)
 41|Zubat     |POISON/FLYING    |  21|  73|  12|  62|  43|  35|OVERGROW    |-------     |BLACK BELT (common), BIG PEARL (rare)
 42|Golbat    |POISON/FLYING    |  36|  51|  95|  95|  89|  89|SPEED BOOST |-------     |
 43|Oddish    |GRASS/POISON     |  24|  71|  11|  43|  83|  89|BATTLE ARMOR|-------     |BLACK FLUTE (rare)
 44|Gloom     |GRASS/POISON     |  24| 101|  68|  36| 104|  62|SHIELD DUST |-------     |
 45|Vileplume |GRASS/POISON     | 153| 104|  16| 109|  24|  74|MARVEL SCALE|-------     |LEFTOVERS (rare)
 46|Paras     |BUG/GRASS        |  70|  52|  30|  64|  50|  20|TRACE       |SHED SKIN   |DRAGON FANG (100%)
 47|Parasect  |BUG/GRASS        |  78|  15|  59|  90|  88|  75|IMMUNITY    |AIR LOCK    |POISON BARB (rare)
 48|Venonat   |BUG/POISON       |  68|  74|  80|  20|  42|  21|SOUNDPROOF  |-------     |RAWST BERRY (common)
 49|Venomoth  |BUG/POISON       |  77|  97|  47|  91|  80|  58|SWIFT SWIM  |SWARM       |TM14 (common), ELIXIR (rare)
 50|Diglett   |GROUND           |  58|  18|  64|  32|  24|  70|PRESSURE    |-------     |
 51|Dugtrio   |GROUND           | 124|  85|  45|  78|  41|  32|CACOPHONY   |-------     |
 52|Meowth    |NORMAL           |  60|  60|  27|  48|  55|  39|ROUGH SKIN  |-------     |LUCKY EGG (common)
 53|Persian   |NORMAL           |  28|  94|  53| 101| 115|  49|DRIZZLE     |-------     |
 54|Psyduck   |WATER            |  69|  57|  57|  38|  53|  46|INTIMIDATE  |-------     |
 55|Golduck   |WATER            | 159|  50| 162|  20|  91|  18|SOUNDPROOF  |HYPER CUTTER|MAX REPEL (100%)
 56|Mankey    |FIGHTING         |  75|  58|  22| 107|  31|  11|PICKUP      |-------     |X ATTACK (common), MOON STONE (rare)
 57|Primeape  |FIGHTING         | 116|  23|  89|  34|  77| 116|CLEAR BODY  |-------     |SEA INCENSE (common)
 58|Growlithe |FIRE             |  56|  29|  56|  70|  70|  70|ARENA TRAP  |-------     |SMOKE BALL (100%)
 59|Arcanine  |FIRE             | 101| 119| 132|  43| 139|  21|EARLY BIRD  |TRACE       |TM36 (100%)
 60|Poliwag   |WATER            |  77|  44|  59|  53|  16|  52|EFFECT SPORE|-------     |ZINC (100%)
 61|Poliwhirl |WATER            | 113|  53|  14| 113|  32|  60|WATER VEIL  |ILLUMINATE  |TM25 (common), TM38 (rare)
 62|Poliwrath |WATER/FIGHTING   | 130|  92|  80| 103|  40|  55|WATER VEIL  |PICKUP      |TM21 (100%)
 63|Abra      |PSYCHIC          |  77|  79|  28|  59|  21|  46|MAGMA ARMOR |CLEAR BODY  |TM34 (common)
 64|Kadabra   |PSYCHIC          |  91|  91|  34|  40|  92|  52|HUSTLE      |PURE POWER  |
 65|Alakazam  |PSYCHIC          |  30|  36| 144| 117| 120|  42|RAIN DISH   |FLAME BODY  |
 66|Machop    |FIGHTING         |  76|  25|  65|  41|  55|  43|EFFECT SPORE|-------     |TM48 (rare)
 67|Machoke   |FIGHTING         | 124|  83|  37|  91|  36|  34|SAND STREAM |-------     |BLUE FLUTE (common)
 68|Machamp   |FIGHTING         | 103|  92|  48| 101|  96|  66|TRACE       |SHADOW TAG  |TM17 (common)
 69|Bellsprout|GRASS/POISON     |  71|  85|  18|  26|  24|  76|OBLIVIOUS   |IMMUNITY    |
 70|Weepinbell|GRASS/POISON     |  34| 109|  75|  35|  16| 120|MARVEL SCALE|PURE POWER  |
 71|Victreebel|GRASS/POISON     | 119|  16|  69|  37| 180|  60|EFFECT SPORE|-------     |LEAF STONE (common)
 72|Tentacool |WATER/POISON     |  32|  66|  53|  35|  40| 110|THICK FAT   |LEVITATE    |
 73|Tentacruel|WATER/POISON     |  26|  29| 183|  42| 158|  76|TRUANT      |FORECAST    |LUM BERRY (common)
 74|Geodude   |ROCK/GROUND      |  34|  21|  65|  16|  78|  87|FLASH FIRE  |-------     |
 75|Graveler  |ROCK/GROUND      |  83|  80|  59|  71|  47|  50|STATIC      |-------     |
 76|Golem     |ROCK/GROUND      | 124|  96|  56|  84| 102|  24|SWIFT SWIM  |HYPER CUTTER|PREMIER BALL (rare)
 77|Ponyta    |FIRE             | 128|  53|  39|  40| 124|  25|OBLIVIOUS   |SWIFT SWIM  |BLUE SHARD (common), TM28 (rare)
 78|Rapidash  |FIRE             |  97| 156|  66|  17|  95|  68|BATTLE ARMOR|TORRENT     |TM25 (common)
 79|Slowpoke  |WATER/PSYCHIC    |  35|  32|  79| 112|  19|  39|SHIELD DUST |-------     |STARDUST (rare)
 80|Slowbro   |WATER/PSYCHIC    | 138| 125|  35|  72| 107|  12|FLAME BODY  |-------     |SITRUS BERRY (100%)
 81|Magnemite |ELECTRIC/STEEL   |  90|  75|  58|  16|  41|  45|SPEED BOOST |-------     |SHARP BEAK (common), SHOAL SALT (rare)
 82|Magneton  |ELECTRIC/STEEL   | 109| 100|  30| 101|  48|  77|SOUNDPROOF  |SPEED BOOST |CARBOS (common), HEAL POWDER (rare)
 83|Farfetch’D|NORMAL/FLYING    |  45|  78|  50|  55|  67|  57|MARVEL SCALE|BLAZE       |
 84|Doduo     |NORMAL/FLYING    |  31|  75|  47|  84|  42|  32|COLOR CHANGE|DRIZZLE     |
 85|Dodrio    |NORMAL/FLYING    |  81|  83|  67|  58|  65| 107|EFFECT SPORE|-------     |
 86|Seel      |WATER            |  40|  16|  88|  32|  84|  65|PLUS        |DROUGHT     |
 87|Dewgong   |WATER/ICE        |  62|  12| 100|  89|  79| 134|IMMUNITY    |INNER FOCUS |SCOPE LENS (100%)
 88|Grimer    |POISON           | 128|  52|  39|  45|  35|  26|INSOMNIA    |VOLT ABSORB |
 89|Muk       |POISON           |  64| 128|  94|  34|  36| 143|HUGE POWER  |SAND STREAM |
 90|Shellder  |WATER            |  39|  34|  21| 112|  47|  52|DAMP        |-------     |BRIGHTPOWDER (rare)
 91|Cloyster  |WATER/ICE        |  44|  89|  76|  91| 102| 123|SAND VEIL   |GUTS        |EXP. SHARE (rare)
 92|Gastly    |GHOST/POISON     |  56|  65|  11|  53|  59|  66|SAND VEIL   |-------     |BLACK BELT (common)
 93|Haunter   |GHOST/POISON     |  90|  49|  89|  72|  82|  22|LIMBER      |-------     |TM27 (common)
 94|Gengar    |GHOST/POISON     |  46| 113|  71|  97|  56| 117|TORRENT     |CLOUD NINE  |GUARD SPEC. (common), ANTIDOTE (rare)
 95|Onix      |ROCK/GROUND      | 104|  92|  48|  81|  48|  11|CUTE CHARM  |-------     |
 96|Drowzee   |PSYCHIC          |  38|  64|  76|  52|  46|  52|INTIMIDATE  |-------     |
 97|Hypno     |PSYCHIC          | 128| 111| 105|  36|  57|  47|WATER VEIL  |VITAL SPIRIT|
 98|Krabby    |WATER            |  70|  46|  59|  64|  46|  41|FLASH FIRE  |VOLT ABSORB |
 99|Kingler   |WATER            |  71| 119|  58|  95| 101|  31|CHLOROPHYLL |-------     |UP-GRADE (common), REPEL (rare)
100|Voltorb   |ELECTRIC         | 104|  68|  62|  48|  24|  23|SWARM       |OBLIVIOUS   |
101|Electrode |ELECTRIC         |  94|  94|  88|  21| 113|  70|SWARM       |-------     |
102|Exeggcute |GRASS/PSYCHIC    |  55|  35|  22|  69|  75|  69|CACOPHONY   |-------     |
103|Exeggutor |GRASS/PSYCHIC    | 138|  46|  92|  67|  71| 107|HYPER CUTTER|-------     |
104|Cubone    |GROUND           |  43|  68|  66|  65|  28|  50|DROUGHT     |-------     |RARE CANDY (common), TM21 (rare)
105|Marowak   |GROUND           |  43| 118| 109|  38|  27|  91|SOUNDPROOF  |FLASH FIRE  |TM25 (common)
106|Hitmonlee |FIGHTING         |  26| 101| 108|  65| 106|  49|MARVEL SCALE|-------     |REPEL (common), PP UP (rare)
107|Hitmonchan|FIGHTING         | 120|  87|  58|  65|  58|  67|IMMUNITY    |HUGE POWER  |FOCUS BAND (100%)
108|Lickitung |NORMAL           |  80|  60|  70|  60|  87|  28|INNER FOCUS |-------     |POISON BARB (common)
109|Koffing   |POISON           |  76|  86|  37|  69|  54|  17|WATER VEIL  |CHLOROPHYLL |TM41 (common)
110|Weezing   |POISON           |  84| 100|  46|  87| 109|  64|EFFECT SPORE|INNER FOCUS |
111|Rhyhorn   |GROUND/ROCK      | 134|  49|  30|  38|  69|  24|RUN AWAY    |SHIELD DUST |MAX REPEL (rare)
112|Rhydon    |GROUND/ROCK      | 111| 110|  21| 133|  57|  54|MAGMA ARMOR |-------     |
113|Chansey   |NORMAL           |  72|  48|  90|  82|  82|  76|MAGMA ARMOR |-------     |TM30 (common), ULTRA BALL (rare)
114|Tangela   |GRASS            |  53|  61|  85|  20| 112| 104|INTIMIDATE  |-------     |ULTRA BALL (rare)
115|Kangaskhan|NORMAL           |  48| 209|  50|  46| 115|  22|TRACE       |STICKY HOLD |
116|Horsea    |WATER            |  73|  48|  40|  47|  37|  50|TRACE       |PURE POWER  |TM24 (100%)
117|Seadra    |WATER            | 138|  84|  15|  77|  53|  74|ROUGH SKIN  |FORECAST    |DEEPSEATOOTH (100%)
118|Goldeen   |WATER            | 109|  40|  30|  44|  60|  38|ILLUMINATE  |-------     |
119|Seaking   |WATER            |  27| 144|  28|  79|  43| 130|VOLT ABSORB |IMMUNITY    |LEFTOVERS (rare)
120|Staryu    |WATER            |  88|  55|  61|  11|  55|  70|PURE POWER  |COLOR CHANGE|CHARCOAL (common), TM12 (rare)
121|Starmie   |WATER/PSYCHIC    |  26| 106|  67| 106| 117|  98|POISON POINT|COLOR CHANGE|YELLOW FLUTE (rare)
122|Mr. Mime  |PSYCHIC          |  83|  52|  89|  78| 110|  48|WATER ABSORB|-------     |TM05 (common)
123|Scyther   |BUG/FLYING       |  72|  22| 107| 107|  86| 106|BATTLE ARMOR|-------     |
124|Jynx      |ICE/PSYCHIC      |  64|  98|  77|  51|  98|  67|CACOPHONY   |-------     |TM23 (common), TM13 (rare)
125|Electabuzz|ELECTRIC         |  45|  15|  55| 140| 146|  88|THICK FAT   |POISON POINT|
126|Magmar    |FIRE             |  42|  51|  99| 108| 119|  77|PRESSURE    |-------     |TM27 (100%)
127|Pinsir    |BUG              | 115| 107| 110|  27|  40| 100|SYNCHRONIZE |COMPOUNDEYES|STAR PIECE (rare)
128|Tauros    |NORMAL           | 137|  67|  83|  67|  41|  95|RAIN DISH   |EARLY BIRD  |
129|Magikarp  |WATER            |  48|  28|  36|  18|  37|  33|VITAL SPIRIT|KEEN EYE    |
130|Gyarados  |WATER/FLYING     |  45| 123|  68|  90|  66| 148|STENCH      |-------     |
131|Lapras    |WATER/ICE        |  72| 110| 106|  77|  74|  95|SWARM       |VOLT ABSORB |
132|Ditto     |NORMAL           |  63|  64|  41|  23|  27|  70|COMPOUNDEYES|LEVITATE    |
133|Eevee     |NORMAL           |  54|  59|  41|  51|  64|  56|TRUANT      |OWN TEMPO   |TM20 (common)
134|Vaporeon  |WATER            |  88|  46|  97|  64| 116| 113|ILLUMINATE  |-------     |
135|Jolteon   |ELECTRIC         | 127|  39|  42|  92| 110| 116|TRACE       |FLASH FIRE  |TM21 (rare)
136|Flareon   |FIRE             | 128| 122|  64|  92|  89|  31|IMMUNITY    |AIR LOCK    |BIG MUSHROOM (100%)
137|Porygon   |NORMAL           |  67|  62| 113| 108|  30|  16|PICKUP      |-------     |NET BALL (rare)
138|Omanyte   |ROCK/WATER       |  67|  31|  91|  90|  61|  14|INTIMIDATE  |-------     |DIVE BALL (common), BLACK FLUTE (rare)
139|Omastar   |ROCK/WATER       | 122| 115|  67|  81|  66|  44|INTIMIDATE  |-------     |GUARD SPEC. (common)
140|Kabuto    |ROCK/WATER       |  74|  11|  43|  94|  91|  43|ARENA TRAP  |SUCTION CUPS|NET BALL (common)
141|Kabutops  |ROCK/WATER       |  98|  98|  91| 100|  69|  39|PICKUP      |-------     |TM12 (common), METAL COAT (rare)
142|Aerodactyl|ROCK/FLYING      |  66|  28|  66| 133| 103| 120|OWN TEMPO   |-------     |
143|Snorlax   |NORMAL           | 151| 102|  37| 116| 110|  24|ARENA TRAP  |IMMUNITY    |DRAGON FANG (common), TM20 (rare)
144|Articuno  |ICE/FLYING       |  88| 114| 111| 114| 102|  51|SWARM       |-------     |
145|Zapdos    |ELECTRIC/FLYING  | 221|  59|  99|  14| 121|  66|FLASH FIRE  |-------     |TM28 (common)
146|Moltres   |FIRE/FLYING      |  79| 172|  53|  93|  45| 138|MAGMA ARMOR |-------     |
147|Dratini   |DRAGON           |  24|  32|  14| 135|  56|  40|OWN TEMPO   |-------     |LEPPA BERRY (rare)
148|Dragonair |DRAGON           |  75|  52|  58|  29|  93| 112|SHADOW TAG  |COLOR CHANGE|
149|Dragonite |DRAGON/FLYING    | 164| 148|  22|  82| 139|  44|SHADOW TAG  |MAGMA ARMOR |TM07 (common)
150|Mewtwo    |PSYCHIC          | 167|  75|  33|  80| 175| 149|SOUNDPROOF  |-------     |TM15 (common), UP-GRADE (rare)
151|Mew       |PSYCHIC          |  68|  14| 143| 156| 127|  93|VOLT ABSORB |MINUS       |X SPECIAL (100%)
152|Chikorita |GRASS            |  56|  58|  50|  50|  48|  56|PRESSURE    |-------     |
153|Bayleef   |GRASS            | 108|  15|  60|  52| 105|  65|TRACE       |BLAZE       |
154|Meganium  |GRASS            |  30| 134| 130| 118|  34|  79|GUTS        |-------     |
155|Cyndaquil |FIRE             |  73|  53|  44|  61|  34|  44|CUTE CHARM  |-------     |PERSIM BERRY (common)
156|Quilava   |FIRE             | 130|  42|  43| 102|  41|  47|PLUS        |GUTS        |CHESTO BERRY (rare)
157|Typhlosion|FIRE             |  25|  97| 172|  84| 130|  25|ILLUMINATE  |LIGHTNINGROD|MIRACLE SEED (rare)
158|Totodile  |WATER            |  33|  64|  47|  37|  93|  41|PLUS        |INSOMNIA    |
159|Croconaw  |WATER            | 112|  78|  74|  55|  61|  24|SHELL ARMOR |RAIN DISH   |STARDUST (common)
160|Feraligatr|WATER            |  90|  59|  50| 111| 112| 108|SHELL ARMOR |RUN AWAY    |PARLYZ HEAL (rare)
161|Sentret   |NORMAL           |  60|  26|  36|  36|  24|  33|SHELL ARMOR |DROUGHT     |BIG MUSHROOM (common), X SPEED (rare)
162|Furret    |NORMAL           | 120|  71|  20| 111|  18|  75|SHED SKIN   |NATURAL CURE|
163|Hoothoot  |NORMAL/FLYING    |  75|  26|  30|  57|  49|  26|THICK FAT   |-------     |BERRY JUICE (common)
164|Noctowl   |NORMAL/FLYING    |  75|  37|  11| 106| 106| 107|OVERGROW    |BATTLE ARMOR|
165|Ledyba    |BUG/FLYING       |  39|  36|  32|  36|  86|  37|FORECAST    |-------     |FIRE STONE (rare)
166|Ledian    |BUG/FLYING       |  95|  76|  63|  66|  64|  26|PRESSURE    |SAND VEIL   |TM32 (common)
167|Spinarak  |BUG/POISON       |  53|  31|  32|  53|  53|  28|NATURAL CURE|-------     |
168|Ariados   |BUG/POISON       | 118|  12|  64|  45|  67|  84|VOLT ABSORB |-------     |MIRACLE SEED (common), ENERGY ROOT (rare)
169|Crobat    |POISON/FLYING    |  86|  55|  42|  55| 135| 163|OBLIVIOUS   |-------     |LEFTOVERS (common)
170|Chinchou  |WATER/ELECTRIC   |  72|  63|  47|  71|  39|  38|OBLIVIOUS   |-------     |NEST BALL (rare)
171|Lanturn   |WATER/ELECTRIC   | 128| 143|  26| 118|  30|  14|DAMP        |HUGE POWER  |SUN STONE (common), POTION (rare)
172|Pichu     |ELECTRIC         |  51|  23|  19|  39|  51|  21|CLEAR BODY  |PRESSURE    |
173|Cleffa    |NORMAL           |  37|  18|  59|  41|  25|  37|PRESSURE    |POISON POINT|ANTIDOTE (rare)
174|Igglybuff |NORMAL           |  34|  32|  45|  46|  37|  15|CUTE CHARM  |-------     |TM47 (common)
175|Togepi    |NORMAL           |  65|  24|  27|  52|  16|  60|IMMUNITY    |-------     |
176|Togetic   |NORMAL/FLYING    | 106|  46|  71|  39|  93|  50|PLUS        |-------     |NEVERMELTICE (rare)
177|Natu      |PSYCHIC/FLYING   |  24|  60|  51|  49|  67|  69|SAND STREAM |ILLUMINATE  |BIG PEARL (common), SITRUS BERRY (rare)
178|Xatu      |PSYCHIC/FLYING   | 100|  77|  77|  86|  67|  62|HUGE POWER  |IMMUNITY    |SMOKE BALL (100%)
179|Mareep    |ELECTRIC         |  25|  40|  35|  55|  60|  65|ROUGH SKIN  |-------     |
180|Flaaffy   |ELECTRIC         |  59|  46|  40|  50|  73|  97|KEEN EYE    |VOLT ABSORB |
181|Ampharos  |ELECTRIC         | 111|  66|  88| 120|  57|  59|GUTS        |PURE POWER  |TM40 (common), BIG MUSHROOM (rare)
182|Bellossom |GRASS            |  54| 126|  50|  38|  91| 120|LEVITATE    |-------     |SOUL DEW (rare)
183|Marill    |WATER            |  61|  39|  20|  70|  44|  15|SERENE GRACE|GUTS        |BLUE SHARD (rare)
184|Azumarill |WATER            | 114|  53|  58|  76|  33|  76|HUGE POWER  |-------     |X SPEED (common), FIRE STONE (rare)
185|Sudowoodo |ROCK             |  97|  75|  83|  68|  30|  56|SOUNDPROOF  |SHADOW TAG  |
186|Politoed  |WATER            |  69|  88|  77|  51| 102| 114|CLOUD NINE  |OVERGROW    |STAR PIECE (100%)
187|Hoppip    |GRASS/FLYING     |  67|  73|  19|  24|  53|  14|STENCH      |-------     |LEFTOVERS (rare)
188|Skiploom  |GRASS/FLYING     |  50|  80|  20|  39|  80|  72|LIGHTNINGROD|SHIELD DUST |DIRE HIT (common)
189|Jumpluff  |GRASS/FLYING     |  93|  24| 106|  26|  68| 133|POISON POINT|-------     |TM34 (rare)
190|Aipom     |NORMAL           |  48|  70|  71|  58|  63|  51|OVERGROW    |-------     |
191|Sunkern   |GRASS            |  28|  39|  14|  37|  23|  40|FLAME BODY  |-------     |TM08 (common), PROTEIN (rare)
192|Sunflora  |GRASS            |  65|  48|  69| 108|  96|  39|VOLT ABSORB |-------     |
193|Yanma     |BUG/FLYING       | 112|  15|  54|  48|  67|  95|INTIMIDATE  |-------     |BURN HEAL (common), GREEN SHARD (rare)
194|Wooper    |WATER/GROUND     |  43|  38|  40|  37|  13|  38|HUGE POWER  |-------     |TM19 (100%)
195|Quagsire  |WATER/GROUND     |  70|  54| 116| 147|  26|  17|COLOR CHANGE|-------     |
196|Espeon    |PSYCHIC          | 141| 125|  52|  24| 109|  75|ARENA TRAP  |MAGNET PULL |
197|Umbreon   |DARK             | 118|  21| 100|  55|  79| 151|FLAME BODY  |COLOR CHANGE|
198|Murkrow   |DARK/FLYING      | 103|  79|  36|  34| 126|  28|DRIZZLE     |-------     |TM30 (rare)
199|Slowking  |WATER/PSYCHIC    |  96|  96| 118|  25|  60|  95|INTIMIDATE  |OVERGROW    |
200|Misdreavus|GHOST            | 122|  57|  48|  62|  89|  57|LEVITATE    |-------     |TM22 (common)
201|Unown     |PSYCHIC          |  87| 104|  47|  11|  11|  78|SAND STREAM |-------     |TM45 (common), FULL HEAL (rare)
202|Wobbuffet |PSYCHIC          |  24|  79| 112| 125|  26|  38|SERENE GRACE|-------     |
203|Girafarig |NORMAL/PSYCHIC   | 142|  34|  87|  50|  76|  66|VITAL SPIRIT|-------     |TM09 (common), BERRY JUICE (rare)
204|Pineco    |BUG              |  59|  62|  23|  20|  58|  69|HYPER CUTTER|SYNCHRONIZE |FLUFFY TAIL (common), TM28 (rare)
205|Forretress|BUG/STEEL        | 113|  34|  93|  73|  47| 105|POISON POINT|-------     |CHESTO BERRY (rare)
206|Dunsparce |NORMAL           |  66|  23| 103|  46|  65| 112|ARENA TRAP  |-------     |SAFARI BALL (rare)
207|Gligar    |GROUND/FLYING    |  28| 107|  82|  57|  35| 122|ARENA TRAP  |-------     |
208|Steelix   |STEEL/GROUND     | 110|  38| 104| 107|  69|  83|SYNCHRONIZE |CHLOROPHYLL |FRESH WATER (common), IRON (rare)
209|Snubbull  |NORMAL           |  83|  24|  34|  74|  49|  37|HUGE POWER  |-------     |
210|Granbull  |NORMAL           |  36|  65|  87|  93|  95|  75|FLASH FIRE  |KEEN EYE    |
211|Qwilfish  |WATER/POISON     |  49| 133|  54|  57|  75|  63|MARVEL SCALE|-------     |
212|Scizor    |BUG/STEEL        |  64|  96|  79|  88|  77|  97|WATER VEIL  |CACOPHONY   |
213|Shuckle   |BUG/ROCK         | 102|  85|  72|  38| 108| 100|MINUS       |-------     |SAFARI BALL (common), SCOPE LENS (rare)
214|Heracross |BUG/FIGHTING     |  95| 220|  43|  81|  50|  11|VITAL SPIRIT|-------     |
215|Sneasel   |DARK/ICE         |  86|  18|  61| 107|  73|  86|GUTS        |TORRENT     |
216|Teddiursa |NORMAL           |  65|  27|  62|  58|  69|  49|WATER VEIL  |ROUGH SKIN  |TM25 (common), ANTIDOTE (rare)
217|Ursaring  |NORMAL           | 127|  81| 128|  11|  96|  58|CLEAR BODY  |-------     |
218|Slugma    |FIRE             |  84|  44|  31|  20|  24|  47|STATIC      |CACOPHONY   |POKé DOLL (100%)
219|Magcargo  |FIRE/ROCK        |  72|  30|  47|  89|  94|  78|CHLOROPHYLL |-------     |TM17 (100%)
220|Swinub    |ICE/GROUND       |  56|  38|  18|  47|  48|  43|DAMP        |-------     |
221|Piloswine |ICE/GROUND       |  69| 116|  22|  97|  36| 110|OWN TEMPO   |STICKY HOLD |PERSIM BERRY (common)
222|Corsola   |WATER/ROCK       | 136| 103|  48|  44|  29|  20|SAND VEIL   |WHITE SMOKE |TM27 (100%)
223|Remoraid  |WATER            |  60|  45|  37|  59|  40|  60|HUSTLE      |-------     |
224|Octillery |WATER            |  61|  87| 163|  21|  45| 103|INNER FOCUS |-------     |
225|Delibird  |ICE/FLYING       |  26|  41|  70|  86|  65|  42|SERENE GRACE|-------     |GREEN SHARD (common), DIRE HIT (rare)
226|Mantine   |WATER/FLYING     | 122|  94|  89|  33|  63|  64|SHIELD DUST |BATTLE ARMOR|
227|Skarmory  |STEEL/FLYING     |  36| 117|  61| 159|  80|  13|DROUGHT     |RUN AWAY    |MAX ETHER (common), SUN STONE (rare)
228|Houndour  |DARK/FIRE        |  34|  76|  12| 110|  70|  27|MINUS       |-------     |
229|Houndoom  |DARK/FIRE        |  66| 106|  82|  33| 110| 104|ILLUMINATE  |-------     |
230|Kingdra   |WATER/DRAGON     | 116|  45| 125|  90| 150|  15|WATER ABSORB|RUN AWAY    |
231|Phanpy    |GROUND           |  28|  54|  78|  77|  12|  80|PRESSURE    |-------     |
232|Donphan   |GROUND           |  49|  51| 134| 119|  93|  54|INSOMNIA    |-------     |
233|Porygon2  |NORMAL           | 205|  12|  22|  67| 137|  70|GUTS        |STENCH      |
