--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 34|Nidoking  |POISON/GROUND    | 182|  49|  22|  50| 110|  82|HUMO BLANCO |CABEZA ROCA |
 35|Clefairy  |NORMAL           |  78|  14|  98|  17|  80|  36|IMÁN        |ROBUSTEZ    |MT47 (common), POLVO PLATA (rare)
 36|Clefable  |NORMAL           |  86| 128| 107| 123|  13|  17|AUSENTE     |(?)         |
 37|Vulpix    |FIRE             |  69|  43|  49|  42|  60|  36|POTENCIA    |(?)         |POLVO PLATA (100%)
 38|Ninetales |FIRE             | 123| 114|  21|  80| 111|  56|TRAMPA ARENA|(?)         |MÁX. REVIVIR (100%)
 39|Jigglypuff|NORMAL           |  27|  68|  67|  22|  66|  20|LLOVIZNA    |(?)         |BAYA ZANAMA (common)
 40|Wigglytuff|NORMAL           | 135|  74|  58|  47|  37|  75|HUMO BLANCO |CAPARAZÓN   |MT12 (common)
 41|Zubat     |POISON/FLYING    |  32|  43|  64|  50|  41|  14|TRAMPA ARENA|(?)         |ANTIPARALIZ (rare)
 42|Golbat    |POISON/FLYING    | 111|  86|  43| 100|  23|  92|BUCLE AIRE  |NADO RÁPIDO |MÁS PS (rare)
 43|Oddish    |GRASS/POISON     |  41|  16|  76| 120|  29|  37|CURA LLUVIA |(?)         |PAÑUELO SEDA (common)
 44|Gloom     |GRASS/POISON     |  75|  48|  80|  76|  48|  68|ABSOR. ELEC.|(?)         |
 45|Vileplume |GRASS/POISON     | 134|  42|  96|  87|  85|  36|FOCO INTERNO|(?)         |
 46|Paras     |BUG/GRASS        |  72|  50|  12|  45|  48|  59|CORTE FUERTE|(?)         |
 47|Parasect  |BUG/GRASS        | 102|  26|  71|  66|  91|  49|ROBUSTEZ    |(?)         |FLAUTA NEGRA (rare)
 48|Venonat   |BUG/POISON       |  35|  47|  67|  45|  27|  83|EFEC. ESPORA|(?)         |
 49|Venomoth  |BUG/POISON       |  50| 107|  82| 116|  20|  76|INTIMIDACIÓN|(?)         |
 50|Diglett   |GROUND           |  42|  86|  67|  18|  41|  12|ENJAMBRE    |(?)         |
 51|Dugtrio   |GROUND           | 130|  60|  67|  16|  28| 104|SINCRONÍA   |ELEC. ESTÁT.|MT40 (rare)
 52|Meowth    |NORMAL           |  30|  67|  58|  74|  37|  25|RASTRO      |HUMO BLANCO |MT24 (common)
 53|Persian   |NORMAL           |  64| 115| 102|  25|  31| 103|PRESIÓN     |(?)         |
 54|Psyduck   |WATER            |  46|  48|  44|  69|  38|  75|ARMAD. BAT. |(?)         |
 55|Golduck   |WATER            |  95| 104|  33|  79|  74| 115|VELO AGUA   |RASTRO      |RESTOS (common)
 56|Mankey    |FIGHTING         |  52|  68|  25|  67|  38|  55|BUCLE AIRE  |HUMEDAD     |MÁX. REVIVIR (100%)
 57|Primeape  |FIGHTING         |  76|  29|  56| 121| 134|  40|HUMEDAD     |(?)         |
 58|Growlithe |FIRE             |  35|  63|  14|  94|  69|  75|PARARRAYOS  |(?)         |PICO AFILADO (100%)
 59|Arcanine  |FIRE             |  33| 135|  48|  80| 141| 119|FUGA        |(?)         |ESCAMADRAGÓN (100%)
 60|Poliwag   |WATER            |  73|  40|  58|  50|  35|  44|INSOMNIO    |INSONORIZAR |
 61|Poliwhirl |WATER            | 109|  92|  21|  52|  87|  24|AGALLAS     |HUMO BLANCO |ÉTER (rare)
 62|Poliwrath |WATER/FIGHTING   |  39| 110|  57| 109|  53| 131|CUERPO LLAMA|(?)         |MÁX. REPEL (100%)
 63|Abra      |PSYCHIC          |  77|  38|  52|  32|  38|  73|INMUNIDAD   |ACLIMATACIÓN|SAFARI BALL (common), MT39 (rare)
 64|Kadabra   |PSYCHIC          | 111|  75|  32|  69|  42|  70|HUMO BLANCO |(?)         |
 65|Alakazam  |PSYCHIC          |  28|  69| 108|  28| 136| 121|HEDOR       |SOMBRATRAMPA|
 66|Machop    |FIGHTING         |  62|  69|  66|  14|  70|  24|ARMAD. BAT. |(?)         |SAFARI BALL (common), MT06 (rare)
 67|Machoke   |FIGHTING         |  74|  68| 110|  95|  24|  35|OJOCOMPUESTO|DICHA       |MT46 (common)
 68|Machamp   |FIGHTING         |  41|  82|  46|  58| 171| 106|MÁS         |(?)         |
 69|Bellsprout|GRASS/POISON     |  55|  64|  27|  47|  51|  56|ESCAMA ESP. |(?)         |MT42 (common)
 70|Weepinbell|GRASS/POISON     |  55|  90|  35| 105|  21|  84|CAMBIO COLOR|RASTRO      |
 71|Victreebel|GRASS/POISON     |  96|  43| 114|  89|  78|  59|ESCUDO MAGMA|ILUMINACIÓN |
 72|Tentacool |WATER/POISON     |  86|  52|  72|  13|  81|  31|INSOMNIO    |HUMO BLANCO |
 73|Tentacruel|WATER/POISON     |  87|  95|  56| 111|  40| 126|INSOMNIO    |(?)         |ESPECIAL X (rare)
 74|Geodude   |ROCK/GROUND      |  40|  70|  26|  94|  18|  53|CURA LLUVIA |(?)         |
 75|Graveler  |ROCK/GROUND      |  59|  71|  86|  60|  61|  53|CAPARAZÓN   |(?)         |PERLA GRANDE (common)
 76|Golem     |ROCK/GROUND      | 106|  27|  14|  81| 124| 134|AGALLAS     |ENJAMBRE    |
 77|Ponyta    |FIRE             |  39|  59|  74|  74|  83|  82|SINCRONÍA   |LLOVIZNA    |
 78|Rapidash  |FIRE             |  37|  33| 187|  50|  84| 109|AGALLAS     |(?)         |PERLA (common)
 79|Slowpoke  |WATER/PSYCHIC    | 113|  38|  31|  89|  17|  28|MÁS         |(?)         |REFRESCO (common)
 80|Slowbro   |WATER/PSYCHIC    |  73|  44|  67|  87| 105| 115|POLVO ESCUDO|IMPULSO     |
 81|Magnemite |ELECTRIC/STEEL   |  86|  56|  25|  42|  85|  31|CORTE FUERTE|ROBUSTEZ    |PARTE ROJA (common), BUCEO BALL (rare)
 82|Magneton  |ELECTRIC/STEEL   | 112|  59| 102| 111|  68|  13|ROBUSTEZ    |(?)         |
 83|Farfetch’D|NORMAL/FLYING    |  27|  87|  11|  83|  39| 105|SEBO        |(?)         |MT25 (rare)
 84|Doduo     |NORMAL/FLYING    |  59|  22|  11|  87|  93|  38|CAPARAZÓN   |(?)         |GAFAS DE SOL (common), DIRECTO (rare)
 85|Dodrio    |NORMAL/FLYING    |  40| 108| 129|  81|  87|  15|INSONORIZAR |VELO AGUA   |
 86|Seel      |WATER            |  93|  57|  25|  12|  73|  65|CUERPO PURO |HUMEDAD     |
 87|Dewgong   |WATER/ICE        |  22|  85|  72| 113| 120|  63|LODO LÍQUIDO|(?)         |
 88|Grimer    |POISON           | 115|  74|  30|  32|  16|  59|FLEXIBILIDAD|(?)         |
 89|Muk       |POISON           |  79|  74| 115| 104|  12| 116|MAR LLAMAS  |(?)         |HIERBA REV. (common)
 90|Shellder  |WATER            |  81|  45|  35|  97|  17|  29|CURA LLUVIA |(?)         |MT44 (common), BAYA PERASI (rare)
 91|Cloyster  |WATER/ICE        |  79|  29| 143|  66| 113|  96|CUERPO LLAMA|FOCO INTERNO|PROTEC. ESP. (rare)
 92|Gastly    |GHOST/POISON     |  74|  17|  35|  93|  80|  11|CHORRO ARENA|SEQUÍA      |P. AMARILLA (rare)
 93|Haunter   |GHOST/POISON     |  90|  59|  75|  26|  69|  87|HEDOR       |TORRENTE    |FLAUTA ROJA (100%)
 94|Gengar    |GHOST/POISON     |  69| 131| 135|  34|  83|  48|ABSOR. ELEC.|FOCO INTERNO|
 95|Onix      |ROCK/GROUND      |  44|  98|  61|  75|  43|  64|AGALLAS     |LODO LÍQUIDO|
 96|Drowzee   |PSYCHIC          |  53|  63|  51|  79|  42|  40|ARMAD. BAT. |ESCAMA ESP. |
 97|Hypno     |PSYCHIC          |  46|  88|  14| 124|  40| 171|VISCOSIDAD  |ESPESURA    |BAYA CAQUIC (common)
 98|Krabby    |WATER            |  41| 105|  21| 119|  21|  19|MAR LLAMAS  |(?)         |
 99|Kingler   |WATER            |  96| 113|  35|  38| 111|  83|SINCRONÍA   |INMUNIDAD   |
100|Voltorb   |ELECTRIC         |  44|  28|  58|  79|  83|  38|POLVO ESCUDO|(?)         |POCIÓN (common), MT14 (rare)
101|Electrode |ELECTRIC         | 128| 109| 120|  15|  13|  94|CUERPO LLAMA|(?)         |VELOCIDAD X (common), PAÑUELO SEDA (rare)
102|Exeggcute |GRASS/PSYCHIC    |  36|  35|  85|  64|  36|  69|DESPISTE    |ELEC. ESTÁT.|
103|Exeggutor |GRASS/PSYCHIC    |  93|  96|  88|  70|  61| 112|CUERPO PURO |(?)         |
104|Cubone    |GROUND           |  59|  71|  42|  76|  46|  26|CACOFONÍA   |(?)         |
105|Marowak   |GROUND           | 111|  51|  11|  57| 133|  61|ABSOR. ELEC.|(?)         |PROTEÍNA (common)
106|Hitmonlee |FIGHTING         |  94|  92|  52|  97|  24|  96|OJOCOMPUESTO|ROBUSTEZ    |MT04 (common), MALLA BALL (rare)
107|Hitmonchan|FIGHTING         |  29| 103| 148|  67|  81|  27|ROBUSTEZ    |(?)         |
108|Lickitung |NORMAL           |  30|  61|  33|  97| 113|  50|CURA NATURAL|(?)         |CAMP. CONCHA (common)
109|Koffing   |POISON           |  77|  20| 105|  51|  27|  59|IMPULSO     |(?)         |HIERRO (common)
110|Weezing   |POISON           | 150|  14|  91|  21|  72| 141|INSOMNIO    |INSONORIZAR |MT21 (common)
111|Rhyhorn   |GROUND/ROCK      |  90|  59|  73|  45|  57|  22|CABEZA ROCA |INTIMIDACIÓN|
112|Rhydon    |GROUND/ROCK      |  21|  18|  20| 168| 177|  82|TRAMPA ARENA|(?)         |MT05 (rare)
113|Chansey   |NORMAL           |  21| 162|  95|  53|  36|  82|OJOCOMPUESTO|(?)         |
114|Tangela   |GRASS            |  84|  60| 116|  38|  73|  65|HEDOR       |(?)         |REV.METÁLICO (rare)
115|Kangaskhan|NORMAL           | 113|  47| 114|  55|  98|  63|CUERPO LLAMA|PARARRAYOS  |MT34 (common)
116|Horsea    |WATER            |  68|  47|  34|  33|  48|  65|LEVITACIÓN  |(?)         |COLMILLODRAG (common)
117|Seadra    |WATER            |  37|  86| 122| 118|  30|  47|VENTOSAS    |(?)         |ARENA FINA (common)
118|Goldeen   |WATER            |  56|  42|  62|  78|  42|  40|RITMO PROPIO|(?)         |POLVOESTELAR (rare)
119|Seaking   |WATER            |  60|  66| 103|  99|  68|  54|CUERPO PURO |AUSENTE     |ESC. CORAZÓN (common)
120|Staryu    |WATER            |  42|  64|  33|  38| 127|  36|CAMBIO COLOR|(?)         |MINI SETA (common), CAMP. ALIVIO (rare)
121|Starmie   |WATER/PSYCHIC    |  80|  80| 149| 114|  45|  51|ABSOR. ELEC.|(?)         |
122|Mr. Mime  |PSYCHIC          |  92|  93|  31| 112|  99|  33|CURA LLUVIA |(?)         |
123|Scyther   |BUG/FLYING       | 132|  74| 103|  85|  26|  80|PARARRAYOS  |ARMAD. BAT. |MT18 (rare)
124|Jynx      |ICE/PSYCHIC      |  86| 107|  76|  22|  68|  96|VELO AGUA   |ABSOR. ELEC.|TURNO BALL (common), BAYA PERASI (rare)
125|Electabuzz|ELECTRIC         |  62|  76| 131|  93| 117|  12|ACLIMATACIÓN|(?)         |COLMILLODRAG (common)
126|Magmar    |FIRE             |  21|  36|  91| 102|  26| 217|ABSOR. AGUA |(?)         |CAMP. ALIVIO (100%)
127|Pinsir    |BUG              | 130|  27|  82|  41| 138|  82|VISCOSIDAD  |(?)         |
128|Tauros    |NORMAL           |  39|  92|  88| 114|  70|  87|DESPISTE    |(?)         |
129|Magikarp  |WATER            |  22|  56|  29|  50|  31|  12|NADO RÁPIDO |(?)         |
130|Gyarados  |WATER/FLYING     |  67| 115|  26| 112| 113| 108|AUSENTE     |(?)         |
131|Lapras    |WATER/ICE        | 190|  60| 134|  81|  11|  60|VELO ARENA  |(?)         |
132|Ditto     |NORMAL           |  30|  41|  67|  47|  46|  57|GRAN ENCANTO|(?)         |SAL CARDUMEN (common), CINT. NEGRO (rare)
133|Eevee     |NORMAL           |  36|  51|  71|  68|  50|  49|CACOFONÍA   |ILUMINACIÓN |BAYA ZREZA (rare)
134|Vaporeon  |WATER            |  44|  86|  91|  94| 106| 105|SINCRONÍA   |(?)         |
135|Jolteon   |ELECTRIC         |  43|  82| 100| 107| 101|  91|DESPISTE    |FUGA        |MT39 (common)
136|Flareon   |FIRE             |  87|  59|  39| 121| 121|  97|ENJAMBRE    |VENTOSAS    |
137|Porygon   |NORMAL           | 109|  42|  67|  46|  73|  56|ROBUSTEZ    |(?)         |MT50 (common)
138|Omanyte   |ROCK/WATER       | 107|  16|  94|  25|  69|  45|NADO RÁPIDO |(?)         |MT30 (common)
139|Omastar   |ROCK/WATER       |  75|  24|  13| 128| 123| 132|AGALLAS     |(?)         |
140|Kabuto    |ROCK/WATER       |  60| 101|  51|  84|  43|  15|NADO RÁPIDO |TRAMPA ARENA|
141|Kabutops  |ROCK/WATER       |  74|  22| 212| 116|  21|  50|MADRUGAR    |(?)         |PERISCOPIO (common), MÁX. REPEL (rare)
142|Aerodactyl|ROCK/FLYING      |  70|  30| 171| 127|  11| 107|VELO ARENA  |(?)         |LECHE MU-MU (common)
143|Snorlax   |NORMAL           | 133|  23|  93| 183|  56|  50|ENERGÍA PURA|FUGA        |HIER. MENTAL (100%)
144|Articuno  |ICE/FLYING       |  25| 108| 135| 145|  86|  82|CUERPO LLAMA|(?)         |SUPERPOCIÓN (common), MT08 (rare)
145|Zapdos    |ELECTRIC/FLYING  |  71| 112| 116| 123| 142|  16|INTIMIDACIÓN|CURA NATURAL|MT23 (rare)
146|Moltres   |FIRE/FLYING      | 120| 119|  97|  28| 158|  58|CORTE FUERTE|PREDICCIÓN  |
147|Dratini   |DRAGON           |  99|  42|  20|  29|  55|  55|VISTA LINCE |(?)         |MÁS PS (common), RESTOS (rare)
148|Dragonair |DRAGON           |  58|  58|  84|  83|  46|  91|BUCLE AIRE  |FOCO INTERNO|
149|Dragonite |DRAGON/FLYING    | 140|  82|  39| 105|  82| 152|PUNTO TÓXICO|DICHA       |
150|Mewtwo    |PSYCHIC          | 174|  90| 140| 186|  66|  24|POTENCIA    |(?)         |BAYA ZREZA (common), NIDO BALL (rare)
151|Mew       |PSYCHIC          | 113| 140|  64| 155| 101|  26|LODO LÍQUIDO|SINCRONÍA   |MT31 (100%)
152|Chikorita |GRASS            |  32|  69|  44|  84|  32|  57|PIEL TOSCA  |ENTUSIASMO  |MT17 (rare)
153|Bayleef   |GRASS            |  78|  90|  96|  11| 119|  11|ENTUSIASMO  |(?)         |BAYA MELOC (rare)
154|Meganium  |GRASS            |  59|  70| 114| 101|  16| 164|LODO LÍQUIDO|PUNTO TÓXICO|
155|Cyndaquil |FIRE             |  70|  20|  46|  52|  60|  61|HUMO BLANCO |(?)         |MON. AMULETO (100%)
156|Quilava   |FIRE             | 129|  69|  23|  16| 129|  39|CABEZA ROCA |HUMEDAD     |MINI SETA (100%)
157|Typhlosion|FIRE             |  48| 104| 137| 136|  47|  62|CLOROFILA   |(?)         |
158|Totodile  |WATER            |  80|  53|  41|  23|  92|  26|CHORRO ARENA|INMUNIDAD   |
159|Croconaw  |WATER            |  86|  52|  89|  81|  54|  42|MÁS         |(?)         |
160|Feraligatr|WATER            |  79|  58|  41|  82|  55| 214|FOCO INTERNO|ACLIMATACIÓN|MT06 (rare)
161|Sentret   |NORMAL           |  57|  45|  48|  20|  20|  24|CLOROFILA   |LEVITACIÓN  |
162|Furret    |NORMAL           |  95|  69|  65|  72|  48|  65|SINCRONÍA   |(?)         |MT40 (rare)
163|Hoothoot  |NORMAL/FLYING    |  26|  68|  56|  17|  30|  64|FOCO INTERNO|(?)         |
164|Noctowl   |NORMAL/FLYING    |  76|  41|  94| 140|  73|  17|PIEL TOSCA  |LLOVIZNA    |MÁX. PP (rare)
165|Ledyba    |BUG/FLYING       |  55|  61|  37|  34|  11|  69|PREDICCIÓN  |INSONORIZAR |
166|Ledian    |BUG/FLYING       | 100|  68|  69|  18| 104|  32|TRAMPA ARENA|VISTA LINCE |PEPITA (common), MT30 (rare)
167|Spinarak  |BUG/POISON       |  38|  31|  37|  28|  53|  62|ESPÍR. VITAL|CLOROFILA   |
168|Ariados   |BUG/POISON       | 125|  43| 120|  18|  33|  52|ESPÍR. VITAL|INSOMNIO    |
169|Crobat    |POISON/FLYING    | 161|  80| 109|  28|  71|  86|MAR LLAMAS  |MÁS         |MT48 (common)
170|Chinchou  |WATER/ELECTRIC   |  43|  55|  78|  24|  38|  90|EFEC. ESPORA|RECOGIDA    |
171|Lanturn   |WATER/ELECTRIC   |  64| 103|  73|  66|  57|  97|ACLIMATACIÓN|(?)         |
172|Pichu     |ELECTRIC         |  45|  41|  44|  31|  25|  18|CLOROFILA   |POTENCIA    |
173|Cleffa    |NORMAL           |  68|  24|  12|  14|  60|  40|PARARRAYOS  |ENTUSIASMO  |LECHE MU-MU (100%)
174|Igglybuff |NORMAL           |  43|  35|  30|  33|  33|  37|LEVITACIÓN  |VELO ARENA  |
175|Togepi    |NORMAL           |  42|  51|  28|  45|  32|  48|GRAN ENCANTO|AUSENTE     |PIEDRA SOLAR (common)
176|Togetic   |NORMAL/FLYING    |  98| 117|  22| 123|  11|  35|MENOS       |(?)         |BAYA MELOC (common)
177|Natu      |PSYCHIC/FLYING   |  25|  79|  38|  67|  43|  68|PREDICCIÓN  |RECOGIDA    |ANTIQUEMAR (common), MÁS PS (rare)
178|Xatu      |PSYCHIC/FLYING   |  64|  69|  20|  97| 104| 117|GRAN ENCANTO|(?)         |
179|Mareep    |ELECTRIC         | 102|  27|  28|  16|  40|  67|FUGA        |CUERPO PURO |MT17 (common), SUPERPOCIÓN (rare)
180|Flaaffy   |ELECTRIC         |  73|  64|  63|  48|  54|  62|VELO ARENA  |(?)         |
181|Ampharos  |ELECTRIC         | 116|  58|  78|  23| 108| 116|DESPISTE    |MAR LLAMAS  |
182|Bellossom |GRASS            |  43| 119|  53|  63|  63| 139|CHORRO ARENA|ACLIMATACIÓN|HIER. MENTAL (common), ROCÍO BONDAD (rare)
183|Marill    |WATER            |  31|  62|  67|  50|  29|  12|RASTRO      |(?)         |
184|Azumarill |WATER            |  59|  70| 132|  41|  34|  74|PUNTO TÓXICO|GRAN ENCANTO|
185|Sudowoodo |ROCK             |  55|  53|  79|  70| 105|  49|IMÁN        |SEBO        |ATAQUE X (common), MT36 (rare)
186|Politoed  |WATER            | 104|  96|  76| 112|  78|  35|PRESIÓN     |(?)         |
187|Hoppip    |GRASS/FLYING     |  48|  36|  51|  49|  45|  21|NADO RÁPIDO |(?)         |
188|Skiploom  |GRASS/FLYING     |  63|  28|  89|  26|  22| 112|LODO LÍQUIDO|(?)         |
189|Jumpluff  |GRASS/FLYING     |  33|  90|  50|  43| 131| 103|SEBO        |GRAN ENCANTO|
190|Aipom     |NORMAL           |  99|  87|  29|  29|  35|  81|HUMEDAD     |(?)         |C. CARDUMEN (rare)
191|Sunkern   |GRASS            |  38|  20|  24|  34|  34|  30|TORRENTE    |(?)         |C. CARDUMEN (rare)
192|Sunflora  |GRASS            |  86|  56|  46|  84|  56|  96|RECOGIDA    |(?)         |MÁX. PP (common), MT12 (rare)
193|Yanma     |BUG/FLYING       |  90|  52|  95|  51|  66|  37|INSOMNIO    |ESPESURA    |
194|Wooper    |WATER/GROUND     |  41|  29|  44|  18|  30|  48|ENJAMBRE    |TORRENTE    |
195|Quagsire  |WATER/GROUND     |  56|  87|  78|  76|  73|  59|ABSOR. ELEC.|PRESIÓN     |MT27 (common)
196|Espeon    |PSYCHIC          | 149|  46| 145| 110|  38|  38|MAR LLAMAS  |(?)         |
197|Umbreon   |DARK             |  35|  60|  47| 142| 113| 127|CURA LLUVIA |TRAMPA ARENA|MT16 (common), PARTE AZUL (rare)
198|Murkrow   |DARK/FLYING      |  59| 116|  32| 105|  76|  17|ARMAD. BAT. |(?)         |PAÑUELO SEDA (common)
199|Slowking  |WATER/PSYCHIC    |  44|  99|  97|  62| 106|  82|NADO RÁPIDO |(?)         |AGUA MÍSTICA (common), PROTEÍNA (rare)
200|Misdreavus|GHOST            | 116|  58|  81|  27|  97|  56|CHORRO ARENA|(?)         |CARBURANTE (common), INCIE. MAR. (rare)
201|Unown     |PSYCHIC          |  38|  90|  50|  57|  18|  84|LODO LÍQUIDO|SEQUÍA      |
202|Wobbuffet |PSYCHIC          | 122|  50|  39|  76|  20|  98|CUERPO PURO |POLVO ESCUDO|
203|Girafarig |NORMAL/PSYCHIC   |  74|  92| 104|  12|  19| 154|SINCRONÍA   |(?)         |
204|Pineco    |BUG              |  33|  64|  25|  67|  42|  58|NADO RÁPIDO |LEVITACIÓN  |ANTÍDOTO (common), FL. BLANCA (rare)
205|Forretress|BUG/STEEL        |  86| 153|  34|  85|  30|  77|MAR LLAMAS  |(?)         |
206|Dunsparce |NORMAL           | 162|  51|  69|  22|  29|  82|CLOROFILA   |MENOS       |RESTAU. TODO (rare)
207|Gligar    |GROUND/FLYING    |  73| 136| 138|  16|  21|  45|FOCO INTERNO|CAMBIO COLOR|
208|Steelix   |STEEL/GROUND     | 107|  66|  51| 137| 120|  29|HUMEDAD     |(?)         |
209|Snubbull  |NORMAL           |  63|  21| 145|  25|  33|  14|RITMO PROPIO|(?)         |COLMILLODRAG (common)
210|Granbull  |NORMAL           |  76|  87|  35|  77|  70| 106|MAR LLAMAS  |ABSOR. FUEGO|MT18 (rare)
211|Qwilfish  |WATER/POISON     |  60|  88| 107|  22| 113|  40|CHORRO ARENA|(?)         |
212|Scizor    |BUG/STEEL        | 134| 130|  75|  25|  49|  87|VISCOSIDAD  |(?)         |PERLA GRANDE (rare)
213|Shuckle   |BUG/ROCK         |  82| 109|  37| 113| 144|  20|IMÁN        |(?)         |MEJORA (100%)
214|Heracross |BUG/FIGHTING     |  75|  48|  17| 182| 108|  70|VISTA LINCE |(?)         |GARRA RÁPIDA (rare)
215|Sneasel   |DARK/ICE         |  78|  33|  35|  95|  69| 121|PUNTO TÓXICO|SEBO        |ARENA FINA (common), MT22 (rare)
216|Teddiursa |NORMAL           |  66|  12| 119|  14| 108|  12|POTENCIA    |(?)         |BAYA CAQUIC (100%)
217|Ursaring  |NORMAL           |  96|  94| 104|  72|  37|  98|CAPARAZÓN   |(?)         |CARBÓN (common)
218|Slugma    |FIRE             |  77|  18|  58|  34|  13|  50|MENOS       |VISCOSIDAD  |POLVO PLATA (100%)
219|Magcargo  |FIRE/ROCK        |  88| 104| 109|  33|  37|  39|SEBO        |(?)         |PEPITA (common), MT32 (rare)
220|Swinub    |ICE/GROUND       |  49|  36|  38|  44|  44|  39|ELEC. ESTÁT.|AGALLAS     |CARBÓN (common)
221|Piloswine |ICE/GROUND       | 130|  67|  12|  24|  93| 124|MÁS         |ABSOR. AGUA |
222|Corsola   |WATER/ROCK       |  82|  29|  60|  80|  79|  50|EFEC. ESPORA|(?)         |
223|Remoraid  |WATER            |  28|  61|  61|  12|  75|  63|VELO ARENA  |(?)         |
224|Octillery |WATER            |  95| 124|  92|  14|  99|  56|HEDOR       |(?)         |BAYA ZIUELA (common)
225|Delibird  |ICE/FLYING       |  43|  63|  37|  50|  45|  92|VELO AGUA   |ENTUSIASMO  |
226|Mantine   |WATER/FLYING     |  92|  89|  38|  68|  82|  96|LEVITACIÓN  |LODO LÍQUIDO|
